kenteken;voertuigsoort;merk;catalogusprijs;eerste_kleur;prijscategorie
00JTX5;Personenauto;FIAT;16394.0;ZWART;normaal
00JVH9;Personenauto;FIAT;15657.0;WIT;normaal
00JVK5;Personenauto;FIAT;9088.0;WIT;normaal
00JVT7;Personenauto;FIAT;15432.0;WIT;normaal
00JXD7;Personenauto;FIAT;18219.0;WIT;normaal
00JXJ7;Personenauto;FIAT;14461.0;ZWART;normaal
00JXP7;Personenauto;FIAT;19013.0;GRIJS;normaal
00JXS6;Personenauto;FIAT;10112.0;ORANJE;normaal
00JXV6;Personenauto;FIAT;18803.0;CREME;normaal
00JZB2;Personenauto;FIAT;15650.0;WIT;normaal
00JZB3;Personenauto;FIAT;15642.0;GRIJS;normaal
00JZF8;Personenauto;FIAT;16161.0;CREME;normaal
00JZF9;Personenauto;FIAT;8713.0;GEEL;normaal
00JZJ2;Personenauto;FIAT;17726.0;CREME;normaal
00JZJ3;Personenauto;FIAT;9962.0;ROOD;normaal
00JZL7;Personenauto;FIAT;9713.0;WIT;normaal
00JZL8;Personenauto;FIAT;13749.0;BLAUW;normaal
00JZS4;Personenauto;FIAT;15275.0;WIT;normaal
00JZS5;Personenauto;FIAT;8888.0;GEEL;normaal
00JZS6;Personenauto;FIAT;9923.0;ROOD;normaal
00JZS7;Personenauto;FIAT;16450.0;GRIJS;normaal
00KBG7;Personenauto;FIAT;38888.0;WIT;hoog
00KBH4;Personenauto;FIAT;16498.0;CREME;normaal
00KBV6;Personenauto;FIAT;15713.0;ZWART;normaal
00KDD1;Personenauto;FIAT;13878.0;WIT;normaal
00KDV2;Personenauto;FIAT;9713.0;WIT;normaal
00KDZ1;Personenauto;FIAT;10112.0;BLAUW;normaal
00KFB8;Personenauto;FIAT;16104.0;CREME;normaal
00KFF6;Personenauto;FIAT;9483.0;GRIJS;normaal
00KFH9;Personenauto;FIAT;10112.0;BLAUW;normaal
00KFL7;Personenauto;FIAT;13283.0;WIT;normaal
00KFL8;Personenauto;FIAT;10158.0;ZWART;normaal
00KFR8;Personenauto;FIAT;14562.0;ROOD;normaal
00KFR9;Personenauto;FIAT;10288.0;BEIGE;normaal
00KFS1;Personenauto;FIAT;10112.0;BLAUW;normaal
00KFS2;Personenauto;FIAT;10333.0;ZWART;normaal
00KFV6;Personenauto;FIAT;10008.0;ROOD;normaal
00KFV8;Personenauto;FIAT;16878.0;BLAUW;normaal
00KGH3;Personenauto;FIAT;16967.0;WIT;normaal
00KHH7;Personenauto;FIAT;17434.0;GRIJS;normaal
00KHN7;Personenauto;FIAT;8713.0;GEEL;normaal
00KHP8;Personenauto;FIAT;15975.0;CREME;normaal
00KHS9;Personenauto;FIAT;21994.0;ROOD;hoog
00KHV6;Personenauto;FIAT;18345.0;BLAUW;normaal
00KHV7;Personenauto;FIAT;9433.0;WIT;normaal
00KJB1;Personenauto;FIAT;9962.0;BLAUW;normaal
00KJF5;Personenauto;FIAT;9962.0;GEEL;normaal
00KJN4;Personenauto;FIAT;16144.0;GRIJS;normaal
00KJX9;Personenauto;FIAT;10158.0;ZWART;normaal
00KKR8;Personenauto;FIAT;15564.0;BLAUW;normaal
00KLB3;Personenauto;FIAT;15587.0;WIT;normaal
00KLR9;Personenauto;FIAT;19294.0;ROOD;normaal
00KNB2;Personenauto;FIAT;16443.0;BLAUW;normaal
00KNH9;Personenauto;FIAT;14345.0;ZWART;normaal
00KRB9;Personenauto;FIAT;9638.0;BEIGE;normaal
00KRD1;Personenauto;FIAT;17875.0;ZWART;normaal
00KRF8;Personenauto;FIAT;10694.0;GRIJS;normaal
00KRH5;Personenauto;FIAT;8539.0;GRIJS;normaal
00KRJ9;Personenauto;FIAT;15468.0;WIT;normaal
00KRK1;Personenauto;FIAT;8889.0;GRIJS;normaal
00KRP8;Personenauto;FIAT;19285.0;BRUIN;normaal
00KRV6;Personenauto;FIAT;9058.0;BLAUW;normaal
00KSF1;Personenauto;FIAT;15279.0;WIT;normaal
00KSF2;Personenauto;FIAT;8514.0;GRIJS;normaal
00KSH9;Personenauto;FIAT;9365.0;WIT;normaal
00KSJ1;Personenauto;FIAT;9596.0;GRIJS;normaal
00KSJ2;Personenauto;FIAT;9514.0;BLAUW;normaal
00KSJ3;Personenauto;FIAT;10694.0;GRIJS;normaal
00KSN3;Personenauto;FIAT;13320.0;ZWART;normaal
